Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-02-22,358.440002,358.970001,354.51001,355.410004,311.473602,1432700,0
2018-02-23,356.25,358.690002,353.839996,358.690002,314.348236,902500,1
2018-02-26,360,361.320007,357.079987,358.700012,314.356995,1156300,2
2018-02-27,359.350006,362.320007,358.089996,358.170013,313.892456,1379700,3
2018-02-28,357.359985,359.200012,352.420013,352.440002,310.605194,988400,4
2018-03-01,352.459991,353.579987,337.579987,339.690002,299.368652,2307100,5
2018-03-02,337.5,342.850006,335.049988,341.720001,301.157684,1684100,6
2018-03-05,339.829987,342.779999,337.619995,342.359985,301.72168,1812400,7
2018-03-06,342.899994,343.98999,337.950012,339.5,299.201172,1307800,8
2018-03-07,336.230011,343.190002,334.100006,342.200012,301.580719,1351000,9
2018-03-08,343.119995,343.700012,339.339996,341.779999,301.21048,1056400,10
2018-03-09,341.779999,342.559998,338.079987,340.48999,300.073608,1568600,11
2018-03-12,341,341.350006,333.040009,333.100006,293.560913,2283200,12
2018-03-13,334.779999,335.910004,332.079987,333.459991,293.878113,1622100,13
2018-03-14,335.709991,336.380005,327.579987,331.679993,292.309357,1712400,14
2018-03-15,331.940002,334.429993,328.779999,333.230011,293.675415,1877200,15
2018-03-16,333.380005,334.350006,329.230011,331.399994,292.062622,4718100,16
2018-03-19,330.299988,336.230011,330.25,335.25,295.455719,1502900,17
2018-03-20,335.730011,339.5,335.220001,335.600006,295.764099,1153900,18
2018-03-21,336.26001,338.730011,332.48999,335.470001,295.649567,1270500,19
2018-03-22,333.179993,335.470001,325.790009,327.149994,288.317139,1536300,20
2018-03-23,327,344.140015,326.769989,336.309998,296.389862,2898600,21
2018-03-26,342.399994,344.600006,339.269989,343.929993,303.105316,1611100,22
2018-03-27,345.299988,345.940002,336.600006,338.850006,298.628296,1295100,23
2018-03-28,340,340.660004,333.220001,335.329987,295.526062,1422000,24
2018-03-29,336.040009,341,335.390015,337.929993,297.817505,1039300,25
2018-04-02,337.059998,337.899994,328.75,333,293.472717,1298600,26
2018-04-03,334.970001,337.029999,330.679993,334.709991,294.979767,1296500,27
2018-04-04,328.880005,341.970001,327.5,341.790009,301.21936,1449400,28
2018-04-05,344.230011,346.929993,340.01001,346.649994,305.502441,1589400,29
2018-04-06,343.589996,344.679993,332.839996,334.660004,294.935669,1417900,30
2018-04-09,337.480011,340.839996,335.459991,335.910004,296.037354,981200,31
2018-04-10,340.630005,341.049988,337.100006,339.359985,299.077789,996300,32
2018-04-11,338.51001,346.25,337.980011,339.440002,299.148285,1481100,33
2018-04-12,340.619995,344.5,340.519989,342.880005,302.179962,1091600,34
2018-04-13,344.079987,345.059998,340.690002,342.600006,301.933197,763100,35
2018-04-16,344.869995,347.73999,344.549988,345.700012,304.665253,1141300,36
2018-04-17,347.790009,350.119995,346.130005,349.140015,307.696869,1061800,37
2018-04-18,351.299988,352.25,349.339996,351.149994,309.468323,843600,38
2018-04-19,351.600006,354.209991,350.179993,353.380005,311.433685,781700,39
2018-04-20,354.529999,355,351.130005,351.98999,310.208649,1185300,40
2018-04-23,352.790009,358.619995,352.450012,358.600006,316.033966,1986000,41
2018-04-24,360.019989,361.98999,330.640015,336.48999,296.548462,3780500,42
2018-04-25,336.679993,337.149994,320.559998,329.5,290.388184,3030800,43
2018-04-26,330,334.859985,324.130005,330.399994,291.181396,1847500,44
2018-04-27,329.950012,330.230011,321.700012,322.029999,283.80484,1580600,45
2018-04-30,322.350006,325.459991,320.200012,320.839996,282.756104,1451100,46
2018-05-01,320.48999,321.23999,302.089996,308.459991,271.845673,3880100,47
2018-05-02,307.279999,313.399994,305.200012,305.700012,269.41333,2644800,48
2018-05-03,303.950012,310.5,300.5,309.929993,273.141083,2889900,49
2018-05-04,308.109985,312.700012,307.26001,311.440002,274.471893,1675500,50
2018-05-07,312.230011,317.920013,312.089996,317.709991,279.99762,1816800,51
2018-05-08,317.709991,325.390015,317.299988,324.190002,285.708466,2949500,52
2018-05-09,325.619995,328.549988,324.700012,326.119995,287.409332,1700000,53
2018-05-10,328.480011,329.019989,322.950012,324.48999,285.97287,1261600,54
2018-05-11,324.690002,325.859985,322.76001,324.040009,285.576355,844900,55
2018-05-14,323.25,323.980011,317.440002,319.079987,281.205048,1417200,56
2018-05-15,317.75,320.350006,317,319.769989,281.81308,1131200,57
2018-05-16,320.100006,321.709991,318.839996,319.329987,281.425323,915800,58
2018-05-17,319,321.5,317.399994,320.420013,282.386017,961600,59
